team_1,team_2,winner,margin,ground,ground_url,match_date,scorecard,scorecard_url
New Zealand,South Africa,South Africa,6 wickets,Wellington,http://stats.espncricinfo.com/ci/content/ground/58899.html,2012-02-25,ODI # 3249,http://stats.espncricinfo.com/ci/engine/match/520600.html
Australia,India,Australia,87 runs,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,2012-02-26,ODI # 3250,http://stats.espncricinfo.com/ci/engine/match/518965.html
India,Sri Lanka,India,7 wickets,Hobart,http://stats.espncricinfo.com/ci/content/ground/56407.html,2012-02-28,ODI # 3251,http://stats.espncricinfo.com/ci/engine/match/518966.html
New Zealand,South Africa,South Africa,6 wickets,Napier,http://stats.espncricinfo.com/ci/content/ground/58857.html,2012-02-29,ODI # 3252,http://stats.espncricinfo.com/ci/engine/match/520601.html
Australia,Sri Lanka,Sri Lanka,9 runs,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,2012-03-02,ODI # 3253,http://stats.espncricinfo.com/ci/engine/match/518967.html
New Zealand,South Africa,South Africa,5 wickets,Auckland,http://stats.espncricinfo.com/ci/content/ground/58792.html,2012-03-03,ODI # 3254,http://stats.espncricinfo.com/ci/engine/match/520602.html
Australia,Sri Lanka,Australia,15 runs,Brisbane,http://stats.espncricinfo.com/ci/content/ground/56336.html,2012-03-04,ODI # 3255,http://stats.espncricinfo.com/ci/engine/match/518968.html
Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,http://stats.espncricinfo.com/ci/content/ground/56293.html,2012-03-06,ODI # 3256,http://stats.espncricinfo.com/ci/engine/match/518969.html
Australia,Sri Lanka,Australia,16 runs,Adelaide,http://stats.espncricinfo.com/ci/content/ground/56293.html,2012-03-08,ODI # 3257,http://stats.espncricinfo.com/ci/engine/match/518970.html
Bangladesh,Pakistan,Pakistan,21 runs,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2012-03-11,ODI # 3258,http://stats.espncricinfo.com/ci/engine/match/535794.html
India,Sri Lanka,India,50 runs,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2012-03-13,ODI # 3259,http://stats.espncricinfo.com/ci/engine/match/535795.html
Pakistan,Sri Lanka,Pakistan,6 wickets,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2012-03-15,ODI # 3260,http://stats.espncricinfo.com/ci/engine/match/535796.html
Bangladesh,India,Bangladesh,5 wickets,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2012-03-16,ODI # 3261,http://stats.espncricinfo.com/ci/engine/match/535797.html
West Indies,Australia,Australia,64 runs,Kingstown,http://stats.espncricinfo.com/ci/content/ground/59463.html,2012-03-16,ODI # 3262,http://stats.espncricinfo.com/ci/engine/match/540168.html
India,Pakistan,India,6 wickets,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2012-03-18,ODI # 3263,http://stats.espncricinfo.com/ci/engine/match/535798.html
West Indies,Australia,West Indies,5 wickets,Kingstown,http://stats.espncricinfo.com/ci/content/ground/59463.html,2012-03-18,ODI # 3264,http://stats.espncricinfo.com/ci/engine/match/540169.html
Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2012-03-20,ODI # 3265,http://stats.espncricinfo.com/ci/engine/match/535799.html
West Indies,Australia,tied,,Kingstown,http://stats.espncricinfo.com/ci/content/ground/59463.html,2012-03-20,ODI # 3266,http://stats.espncricinfo.com/ci/engine/match/540170.html
Bangladesh,Pakistan,Pakistan,2 runs,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2012-03-22,ODI # 3267,http://stats.espncricinfo.com/ci/engine/match/535800.html
West Indies,Australia,West Indies,42 runs,Gros Islet,http://stats.espncricinfo.com/ci/content/ground/59518.html,2012-03-23,ODI # 3268,http://stats.espncricinfo.com/ci/engine/match/540171.html
West Indies,Australia,Australia,30 runs,Gros Islet,http://stats.espncricinfo.com/ci/content/ground/59518.html,2012-03-25,ODI # 3269,http://stats.espncricinfo.com/ci/engine/match/540172.html
Afghanistan,Netherlands,Netherlands,9 wickets,Sharjah,http://stats.espncricinfo.com/ci/content/ground/59392.html,2012-03-29,ODI # 3270,http://stats.espncricinfo.com/ci/engine/match/543888.html
Afghanistan,Netherlands,Afghanistan,5 wickets,Sharjah,http://stats.espncricinfo.com/ci/content/ground/59392.html,2012-03-31,ODI # 3271,http://stats.espncricinfo.com/ci/engine/match/543889.html
Sri Lanka,Pakistan,Pakistan,6 wickets,Pallekele,http://stats.espncricinfo.com/ci/content/ground/434211.html,2012-06-07,ODI # 3272,http://stats.espncricinfo.com/ci/engine/match/562439.html
Sri Lanka,Pakistan,Sri Lanka,76 runs,Pallekele,http://stats.espncricinfo.com/ci/content/ground/434211.html,2012-06-09,ODI # 3273,http://stats.espncricinfo.com/ci/engine/match/562440.html
Sri Lanka,Pakistan,Sri Lanka,44 runs,Colombo (RPS),http://stats.espncricinfo.com/ci/content/ground/59306.html,2012-06-16,ODI # 3275,http://stats.espncricinfo.com/ci/engine/match/562442.html
England,West Indies,England,114 runs,Southampton,http://stats.espncricinfo.com/ci/content/ground/57312.html,2012-06-16,ODI # 3276,http://stats.espncricinfo.com/ci/engine/match/534209.html
Sri Lanka,Pakistan,Sri Lanka,2 wickets,Colombo (RPS),http://stats.espncricinfo.com/ci/content/ground/59306.html,2012-06-18,ODI # 3277,http://stats.espncricinfo.com/ci/engine/match/562443.html
England,West Indies,England,8 wickets,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,2012-06-19,ODI # 3278,http://stats.espncricinfo.com/ci/engine/match/534210.html
